,article_href,author,content,comment_time,votes
68,https://movie.douban.com/subject/1291549/,Q。,"
2008-05-18
",这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆,1668
69,https://movie.douban.com/subject/1291549/,幻,"
2006-05-12
",被那些孩子们所感动。天籁一般的童声，定是最接近上帝的存在。,540
70,https://movie.douban.com/subject/1889243/,一只野生叮当猫,"
2014-11-11
",诺兰说：如果我活得够长那么豆瓣TOP250就被我承包了。,32183
71,https://movie.douban.com/subject/1889243/,影志,"
2014-11-12
",太壮阔了，无以言表！40'渐入佳境，80'叹为观止，120'泪流满面，160'恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App,13873
72,https://movie.douban.com/subject/1889243/,时间之葬,"
2014-11-12
",你应该敬畏时间，因为那是一切的密码；但不要滥用爱意，因为那不是一切的钥匙。,3550
73,https://movie.douban.com/subject/1889243/,大夫唐,"
2014-11-12
",看完没人起立鼓掌，因为全跪着。,1685
74,https://movie.douban.com/subject/1889243/,芦哲峰,"
2014-11-12
",天地玄黄，宇宙洪荒。英雄气笃，儿女情长。,818
75,https://movie.douban.com/subject/1292213/,罗弘霉素,"
2010-07-26
",一遍烂，两遍笑，三遍哭,10953
76,https://movie.douban.com/subject/1292213/,MonaLishark,"
2008-01-01
",有人跟我比赛背台词么,6642
77,https://movie.douban.com/subject/1292213/,眠去,"
2007-02-13
",为什么越看越觉得悲伤,5589
78,https://movie.douban.com/subject/1292213/,影志,"
2006-02-05
",任何时候任何场合都可以再看一遍的电影,3597
79,https://movie.douban.com/subject/1292213/,大头绿豆,"
2005-09-12
",请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。,528
80,https://movie.douban.com/subject/5912992/,茱湮河,"
2011-12-28
",想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。,8431
81,https://movie.douban.com/subject/5912992/,qw-p,"
2011-12-30
",我们无法改变世界，但我们可以选择不被世界改变...,2810
82,https://movie.douban.com/subject/5912992/,阿巴厮,"
2012-01-02
",不说别的，光电影那股正义的力量，就足以让人沸腾。,1766
83,https://movie.douban.com/subject/5912992/,41shoots,"
2012-02-08
",熔炉二字意思直到影片最后真正理解相信大多更是层层叠叠的无力感，这世界少部分人保留着人性多数猪狗不如，你不善可以但不要作恶。羡慕他们的制作环境至少能拍能过审，而中国的影片皆大欢喜的结局男女主角百分百的鸡巴爱情套路数的精良制作连说真话的机会都没有，我们怎么还有脸指责韩国，真羞耻。,1271
84,https://movie.douban.com/subject/5912992/,落大雨,"
2012-01-03
",我在想演戏的小孩子会不会有心理阴影,1002
85,https://movie.douban.com/subject/25662329/,影评终结者,"
2016-02-26
",完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画,4984
86,https://movie.douban.com/subject/25662329/,暹罗copen,"
2016-02-28
",哎呀呀~这些年来个人心目中的最佳动画竟然不是皮克斯出品。,2227
87,https://movie.douban.com/subject/25662329/,诗人橙子,"
2016-02-15
",绝对的好片子裂墙推荐。实在是因为另一场满了…随手挑了这个片子。真是5分钟一小笑10分钟哄堂大笑。看那个又懒又慢树獭简直要锤墙了。旁边法国妹子精辟的吐槽！看！这是我们法国人。我要憋到内伤了。最后散场大家都静坐着等着整首歌放完…五星好评。2016年度十佳。,1834
88,https://movie.douban.com/subject/25662329/,云淡风轻,"
2016-03-04
",不要看任何影评，如果可以预告片都别看，直接买票就好了。你要啥这电影里有啥！,1679
89,https://movie.douban.com/subject/25662329/,✿Suda✿,"
2016-02-28
",超~~~~~~~~~~可爱的。大眼睛看得我都化了。一想到未来狐狸跟兔子可能有感情戏，我就hhhhhhhh。那只长耳朵的狐狸和那群二哈狼是我的笑点！！！,699
90,https://movie.douban.com/subject/1307914/,XAr,"
2008-02-15
",当年我深刻的爱上了梁朝伟同学,6871
91,https://movie.douban.com/subject/1307914/,Doublebitch,"
2008-11-24
",港片新旗帜,2246
92,https://movie.douban.com/subject/1307914/,小罗伯特唐寅,"
2017-04-11
",现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。,1721
93,https://movie.douban.com/subject/1307914/,掉线,"
2013-01-21
",卧！槽！居！然！这！么！好！看！（好后悔现在才看这部电影……所有人的演技都太棒了，甚至萧亚轩……）,1356
